Sample	runtime.incr.ms	runtime.cumu.s
0	44	0
10000	1834	1
20000	1450	3
30000	1322	4
40000	1275	5
50000	1220	7
60000	1214	8
70000	1183	9
80000	1277	10
90000	1217	12
100000	1200	13
110000	1218	14
120000	1194	15
130000	1184	16
140000	1209	18
150000	1170	19
160000	1223	20
170000	1201	21
180000	1218	22
190000	1160	24
200000	1170	25
210000	1158	26
220000	1199	27
230000	1188	28
240000	1246	29
250000	1208	31
260000	1306	32
270000	1176	33
280000	1172	34
290000	1178	36
300000	1202	37
310000	1206	38
320000	1234	39
330000	1192	40
340000	1192	42
350000	1174	43
360000	1198	44
370000	1228	45
380000	1219	46
390000	1176	48
400000	1191	49
410000	1152	50
420000	1173	51
430000	1203	52
440000	1167	53
450000	1206	55
460000	1161	56
470000	1204	57
480000	1166	58
490000	1161	59
500000	1173	61
510000	1196	62
520000	1186	63
530000	1173	64
540000	1180	65
550000	1184	66
560000	1173	68
570000	1149	69
580000	1170	70
590000	1211	71
600000	1135	72
610000	1164	73
620000	1179	75
630000	1177	76
640000	1153	77
650000	1209	78
660000	1177	79
670000	1209	81
680000	1218	82
690000	1232	83
700000	1223	84
710000	1251	85
720000	1168	87
730000	1216	88
740000	1167	89
750000	1194	90
760000	1179	91
770000	1192	93
780000	1159	94
790000	1174	95
800000	1201	96
810000	1156	97
820000	1169	98
830000	1202	100
840000	1200	101
850000	1174	102
860000	1190	103
870000	1185	104
880000	1226	106
890000	1185	107
900000	1169	108
910000	1202	109
920000	1217	110
930000	1199	112
940000	1198	113
950000	1170	114
960000	1165	115
970000	1211	116
980000	1198	118
990000	1266	119
1000000	1194	120
1010000	1165	121
1020000	1200	122
1030000	1181	124
1040000	1232	125
1050000	1246	126
1060000	1205	127
1070000	1216	128
1080000	1168	130
1090000	1172	131
1100000	1176	132
1110000	1189	133
1120000	1235	134
1130000	1217	136
1140000	1240	137
1150000	1239	138
1160000	1227	139
1170000	1232	141
1180000	1220	142
1190000	1258	143
1200000	1285	144
1210000	1206	146
1220000	1191	147
1230000	1207	148
1240000	1215	149
1250000	1174	150
1260000	1174	151
1270000	1165	153
1280000	1169	154
1290000	1162	155
1300000	1187	156
1310000	1176	157
1320000	1208	159
1330000	1258	160
1340000	1164	161
1350000	1156	162
1360000	1122	163
1370000	1171	164
1380000	1154	166
1390000	1181	167
1400000	1178	168
1410000	1202	169
1420000	1233	170
1430000	1202	172
1440000	1200	173
1450000	1208	174
1460000	1217	175
1470000	1142	176
1480000	1167	178
1490000	1165	179
1500000	1216	180
1510000	1203	181
1520000	1170	182
1530000	1173	183
1540000	1184	185
1550000	1190	186
1560000	1174	187
1570000	1167	188
1580000	1191	189
1590000	1277	191
1600000	1192	192
1610000	1224	193
1620000	1200	194
1630000	1249	196
1640000	1288	197
1650000	1227	198
1660000	1156	199
1670000	1193	200
1680000	1195	202
1690000	1236	203
1700000	1221	204
1710000	1324	205
1720000	1187	207
1730000	1209	208
1740000	1224	209
1750000	1229	210
1760000	1193	211
1770000	1193	213
1780000	1211	214
1790000	1222	215
1800000	1193	216
1810000	1198	217
1820000	1194	219
