Sample	posterior	likelihood	prior	treePrior	overallClockRate.c:tree	tree.height	tree.treeLength	clockRate.t:TBO72-2	clockRate.t:TBO47	clockRate.t:TBO53-2	clockRate.t:TBO26	NJ_Distance.treeDistance	UPGMA_Distance.treeDistance	proportionInvariant.s:TBO72-2	proportionInvariant.s:TBO47	proportionInvariant.s:TBO53-2	proportionInvariant.s:TBO26	gammaShape.s:TBO72-2	gammaShape.s:TBO47	gammaShape.s:TBO53-2	gammaShape.s:TBO26	ucldStdev.clock	RateStatLogger.mean	RateStatLogger.variance	RateStatLogger.coefficientOfVariation	BDBirthRate.t:tree	BDDeathRate.t:tree
0	-9086.593062192364	-8933.856553243775	-152.73650894858858	-209.68359097100134	0.008645263807148093	7.394278228662498	121.39514200700519	1.0	1.0	1.0	1.0	24.0	23.0	0.01	0.01	0.01	0.01	1.0	1.0	1.0	1.0	0.1	0.008491841874151524	6.389597293324053E-7	0.09297762494288755	1.0	0.5
10000	-6660.520162523607	-6518.398565845994	-142.1215966776123	-91.09799428234194	0.003823742332173994	8.767713686138997	66.90407984544811	1.2012821087358432	0.9154194439932201	1.1074061911740354	0.7758922560969018	17.0	14.0	4.241118680855858E-4	0.39431943875362646	0.7109876215046171	0.42358846961362717	2.1830181639750856	1.5543362328477808	2.4500412237659908	0.2196165526515465	0.9082782637828722	0.003075388218763719	1.5872931228484234E-5	1.213710034140628	0.2641397826429761	0.8516533629030144
20000	-6649.843460018128	-6507.771815747952	-142.0716442701756	-87.19514893841082	0.0038145330617110457	8.985333931318507	63.35289410862109	1.1765665718609883	1.0391800040604255	1.0325231007531281	0.7517303233254579	16.0	15.0	0.05102417147061455	0.3163840035832163	0.5343823380273633	0.42405029368992797	3.393315224981957	0.8709624171485417	1.7854345676333463	0.3361399886276577	1.0602895959937308	0.0033562726110575275	2.1317894827716478E-5	1.3330090071951424	0.2641397826429761	0.8516533629030144
30000	-6639.985706328189	-6505.884223257994	-134.1014830701953	-71.4568422882879	0.005174842410047038	8.690053576237387	50.49779422421086	1.0891427949214332	1.1209338702755975	1.133548209755877	0.6563751250470922	14.0	15.0	0.016844210417127675	0.563101917949564	0.32021162739103154	0.6727699600148728	3.4697452760070497	1.195670099279273	0.4799572804310991	1.8870035087718813	1.2276658386507815	0.0034243689915267475	4.719137499316683E-5	1.2657237087923523	0.2421719487908748	0.8845817342154084
40000	-6609.3063628173795	-6499.760148514899	-109.54621430248078	-62.44550056084372	0.005173594569962515	9.125555640530289	42.82371207500103	0.9588436839027186	1.0413053074919953	1.0883819497885343	0.9114690588167514	16.0	14.0	0.09060151383530099	0.3889749309756278	0.39886773314406143	0.35064802713908394	1.032171204644235	0.8862565667715838	0.29796856535167543	0.20028955273503293	0.7334165010116148	0.004426829299054251	8.82531691027024E-5	1.5984696870979094	0.2917221066020158	0.9381961188910872
50000	-6617.032530686764	-6502.150181892524	-114.88234879424022	-77.53160929423626	0.005184192090556252	11.519833528955788	54.079667741254404	1.2888824911596233	0.9026497994423143	1.0985241770404117	0.7099435323576507	17.0	15.0	0.027444569184871224	0.3786560008604576	0.34533585476155126	0.43573721409265476	1.1438537039692922	0.7145832529301566	0.28362399764934154	0.37903964661993744	0.7982509231160022	0.003417918796694553	1.0689116109495583E-5	0.7745665383704174	0.3744600157736205	0.8795016915989863
60000	-6609.083971161123	-6493.546936800878	-115.53703436024546	-57.489372765236254	0.0059000824589205345	9.546390845178612	40.258550962821275	1.198472243831796	0.9461286521065551	0.9907687703129637	0.8646303337486854	17.0	15.0	0.11679139328949285	0.14777380388719458	0.19634199595742835	0.6353104423250018	3.0731877377087753	0.6133100075051682	0.16960846748185124	0.9579289961201664	0.9219142955158598	0.004588415883748608	3.52829549710667E-5	0.9019249984323259	0.34704796193824033	0.8966862769318672
70000	-6611.87522025252	-6504.206763034017	-107.66845721850272	-57.84495650375656	0.0062321362066135155	10.354501218755322	39.29228053226698	1.0748537609567856	0.9195272209183787	1.124250503481979	0.881368514642856	16.0	14.0	0.03196435298225836	0.21575164621982998	0.1807937409448653	0.41243658243450465	1.6525678399271784	0.2635697699828566	0.12347989745519534	0.5078373641578715	0.6874533697758967	0.004812007767505151	3.0250111180372827E-5	0.7547298987796299	0.37479303428827443	0.9379998894684537
80000	-6620.770222146732	-6503.620917253213	-117.14930489351916	-55.084058232516384	0.006624285853029501	7.144311294258804	33.60718819671131	1.0604350152222528	0.8974964902482101	1.2115443846325316	0.8305241098970059	18.0	15.0	0.02696044766588753	0.2853567547034996	0.623450897994519	0.5701343996013702	2.5437005095113934	2.756297425174788	0.7842986522708607	0.43802453514098266	0.7365655967482871	0.006229650195775726	8.055905381953299E-5	1.0764963724497327	0.26171766229790777	0.9447121802748827
90000	-6593.742126159511	-6502.633873517687	-91.10825264182364	-49.44433643543318	0.008111371339486934	7.076840238573786	31.871463664201478	1.2339532132100854	1.0381363324785438	0.867356459275797	0.8605539950355737	17.0	15.0	0.04882020101359212	0.1100917297723193	0.5071931381920061	0.009912662413900859	1.344390848140962	0.4828326861450931	0.5156706360344947	0.1	0.6095855599096136	0.006603838320585554	6.371672321294672E-5	0.8914157377899239	0.30541741974596126	0.904392600983975
