Sample	posterior	likelihood	prior	tree.height	tree.treeLength	kappa.t:accD_pos3	kappa.t:accD_pos2	kappa.t:rpl16ex_pos2	kappa.t:accD_pos1	kappa.t:5p8S	kappa.t:EMB2765ex12_pos3	kappa.t:EMB2765ex12_pos1	kappa.t:chloroplast_genome	kappa.t:EMB2765ex9_pos1	kappa.t:ITS1	kappa.t:rpl16_pos1	kappa.t:mitochondrial_genome	kappa.t:rbcL_pos2	kappa.t:rps3_pos1	kappa.t:EMB2765ex9_pos2	kappa.t:ndhF_pos3	kappa.t:ndhF_pos1	kappa.t:rpl16i	kappa.t:rpl16_pos3	kappa.t:nuclear_genome	kappa.t:rbcL_pos1	kappa.t:trnLF	kappa.t:EMB2765ex12_pos2	kappa.t:IGS	kappa.t:rbcL_pos3	freqParameter.t:accD_pos3.0	freqParameter.t:accD_pos3.1	freqParameter.t:accD_pos3.2	freqParameter.t:accD_pos3.3	freqParameter.t:accD_pos2.0	freqParameter.t:accD_pos2.1	freqParameter.t:accD_pos2.2	freqParameter.t:accD_pos2.3	freqParameter.t:rpl16ex_pos2.0	freqParameter.t:rpl16ex_pos2.1	freqParameter.t:rpl16ex_pos2.2	freqParameter.t:rpl16ex_pos2.3	freqParameter.t:accD_pos1.0	freqParameter.t:accD_pos1.1	freqParameter.t:accD_pos1.2	freqParameter.t:accD_pos1.3	freqParameter.t:5p8S.0	freqParameter.t:5p8S.1	freqParameter.t:5p8S.2	freqParameter.t:5p8S.3	freqParameter.t:EMB2765ex12_pos3.0	freqParameter.t:EMB2765ex12_pos3.1	freqParameter.t:EMB2765ex12_pos3.2	freqParameter.t:EMB2765ex12_pos3.3	freqParameter.t:EMB2765ex12_pos1.0	freqParameter.t:EMB2765ex12_pos1.1	freqParameter.t:EMB2765ex12_pos1.2	freqParameter.t:EMB2765ex12_pos1.3	freqParameter.t:chloroplast_genome.0	freqParameter.t:chloroplast_genome.1	freqParameter.t:chloroplast_genome.2	freqParameter.t:chloroplast_genome.3	freqParameter.t:EMB2765ex9_pos1.0	freqParameter.t:EMB2765ex9_pos1.1	freqParameter.t:EMB2765ex9_pos1.2	freqParameter.t:EMB2765ex9_pos1.3	freqParameter.t:ITS1.0	freqParameter.t:ITS1.1	freqParameter.t:ITS1.2	freqParameter.t:ITS1.3	freqParameter.t:rpl16_pos1.0	freqParameter.t:rpl16_pos1.1	freqParameter.t:rpl16_pos1.2	freqParameter.t:rpl16_pos1.3	freqParameter.t:mitochondrial_genome.0	freqParameter.t:mitochondrial_genome.1	freqParameter.t:mitochondrial_genome.2	freqParameter.t:mitochondrial_genome.3	freqParameter.t:rbcL_pos2.0	freqParameter.t:rbcL_pos2.1	freqParameter.t:rbcL_pos2.2	freqParameter.t:rbcL_pos2.3	freqParameter.t:rps3_pos1.0	freqParameter.t:rps3_pos1.1	freqParameter.t:rps3_pos1.2	freqParameter.t:rps3_pos1.3	freqParameter.t:EMB2765ex9_pos2.0	freqParameter.t:EMB2765ex9_pos2.1	freqParameter.t:EMB2765ex9_pos2.2	freqParameter.t:EMB2765ex9_pos2.3	freqParameter.t:ndhF_pos3.0	freqParameter.t:ndhF_pos3.1	freqParameter.t:ndhF_pos3.2	freqParameter.t:ndhF_pos3.3	freqParameter.t:ndhF_pos1.0	freqParameter.t:ndhF_pos1.1	freqParameter.t:ndhF_pos1.2	freqParameter.t:ndhF_pos1.3	freqParameter.t:rpl16i.0	freqParameter.t:rpl16i.1	freqParameter.t:rpl16i.2	freqParameter.t:rpl16i.3	freqParameter.t:rpl16_pos3.0	freqParameter.t:rpl16_pos3.1	freqParameter.t:rpl16_pos3.2	freqParameter.t:rpl16_pos3.3	freqParameter.t:nuclear_genome.0	freqParameter.t:nuclear_genome.1	freqParameter.t:nuclear_genome.2	freqParameter.t:nuclear_genome.3	freqParameter.t:rbcL_pos1.0	freqParameter.t:rbcL_pos1.1	freqParameter.t:rbcL_pos1.2	freqParameter.t:rbcL_pos1.3	freqParameter.t:trnLF.0	freqParameter.t:trnLF.1	freqParameter.t:trnLF.2	freqParameter.t:trnLF.3	freqParameter.t:EMB2765ex12_pos2.0	freqParameter.t:EMB2765ex12_pos2.1	freqParameter.t:EMB2765ex12_pos2.2	freqParameter.t:EMB2765ex12_pos2.3	freqParameter.t:IGS.0	freqParameter.t:IGS.1	freqParameter.t:IGS.2	freqParameter.t:IGS.3	freqParameter.t:rbcL_pos3.0	freqParameter.t:rbcL_pos3.1	freqParameter.t:rbcL_pos3.2	freqParameter.t:rbcL_pos3.3	popSize
0	-432720.1994856805	-432655.1037711068	-65.09571457370531	0.04936379025336453	3.3918981386768974	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	1.0078974431879213
1000	-358296.01834962715	-358240.6928690056	-55.32548062151927	0.03766274655688405	2.904123309624452	2.0	2.0	2.644674763133251	2.0	5.441137134788682	4.3280151175157275	2.813537719998036	2.0	1.9833151796585469	4.181076204300838	2.0	2.1171763218670514	0.6619413361405543	1.0130754646263478	2.0	1.9662168390833341	1.4719723013292307	2.0	2.1269980012730807	3.4769738307085274	1.2449843091920696	2.0	2.097432702561691	1.5067979631160813	3.489448700502127	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.2501731534694312	0.2443064398833259	0.24336290831248628	0.2621574983347566	0.25	0.25	0.25	0.25	0.24834007453439022	0.25041911686810536	0.25	0.2512408085975044	0.2508003476045322	0.25	0.24494479900261729	0.25425485339285053	0.24392827183240537	0.2535242331106903	0.25	0.2525474950569043	0.260924462973242	0.24630061227238909	0.24306529619926343	0.24970962855510545	0.25	0.25	0.25	0.25	0.25	0.25	0.24122384402240216	0.25877615597759784	0.25442316086482875	0.2599777702085568	0.23401120111434826	0.25158786781226616	0.25545972190303595	0.25	0.24430126559681994	0.25023901250014413	0.2599795009811107	0.2504969692358254	0.24890738685994562	0.24061614292311825	0.2684923139524986	0.25083206735586944	0.24384634782253842	0.2368292708690935	0.25	0.24592673949899463	0.25407326050100537	0.25	0.2523419442918679	0.25	0.2476580557081321	0.25	0.24551287028679947	0.25	0.25	0.25448712971320053	0.25	0.25	0.24558615415970497	0.254413845840295	0.25	0.25	0.24541345203305404	0.25458654796694596	0.25951762194458666	0.24048237805541334	0.25	0.25	0.24171306124315847	0.2582869387568415	0.25	0.25	0.2512236043028502	0.25	0.25	0.24877639569714985	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.2412168606220292	0.2570192483915513	0.25176389098641944	0.7827357941714685
2000	-343953.6952205896	-343890.08552729903	-63.609693290571904	0.03665399645007565	2.8676118306637464	2.0	1.712270129706575	8.859706912682311	2.0	5.441137134788682	4.45701254202494	2.813537719998036	2.0	3.627230065081175	3.5697913840964413	2.0	2.7714825625887607	0.5493785610165595	0.8790712413740083	2.3605708968851227	1.9948384313421905	1.4719723013292307	1.4363927866567294	2.1269980012730807	3.4769738307085274	1.2449843091920696	1.6484344594172569	2.323175988085647	1.5067979631160813	5.807412704220235	0.25	0.25	0.25	0.25	0.2550690173962826	0.25321636754394855	0.24520528638604075	0.24650932867372802	0.2501731534694312	0.2521191557488486	0.24336290831248628	0.2543447824692339	0.2721321131843381	0.2371539308104608	0.24071395600520107	0.25	0.24424391909576318	0.26590950873476843	0.23860576357196392	0.2512408085975044	0.2508003476045322	0.25	0.24494479900261729	0.25425485339285053	0.24318465087657776	0.24255108685087373	0.2444599396122636	0.26980432266028487	0.260924462973242	0.24630061227238909	0.24306529619926343	0.24970962855510545	0.24003633694156626	0.2434937379982247	0.26497148506913004	0.25149843999107907	0.25	0.24322630223556035	0.22720888889234792	0.2795648088720918	0.2513394710025165	0.2700083572372765	0.23401120111434826	0.24464097064585866	0.25545972190303595	0.25202349781661637	0.24227776778020355	0.25023901250014413	0.2635497993932288	0.25589965001235204	0.2450167246718784	0.2355338259225407	0.27315195902746925	0.2461724222808988	0.24384634782253842	0.2368292708690935	0.25402898719689054	0.24592673949899463	0.25004427330411483	0.25	0.2523419442918679	0.24774932278694425	0.23210054544259387	0.2678081874785939	0.24951209354224618	0.25	0.24004980672785464	0.2604380997298992	0.2633192441404105	0.2476355201298237	0.23226691001929445	0.2567783257104713	0.25	0.24292361016731784	0.24541345203305404	0.2616629377996281	0.26106853555253073	0.2347426294297086	0.25	0.25418883501776063	0.23546552805444648	0.2645344719455535	0.25	0.25	0.2512236043028502	0.25	0.25	0.24877639569714985	0.24708261583426894	0.25	0.25	0.25291738416573106	0.25	0.25	0.25	0.25	0.25	0.23515686209723557	0.2618113735742547	0.25303176432850966	0.828772159421391
3000	-327543.19139211724	-327471.9057365516	-71.28565556558918	0.036070094353037783	2.8716090112447774	2.14693752427949	1.3018563318873397	8.709565045151685	1.7777295406181979	5.441137134788682	4.45701254202494	2.718414118106151	2.0	4.090669765644456	3.5697913840964413	2.0	3.4670379880462283	0.47505888699504417	1.0789540672948896	1.9841182546685157	2.360418462987737	1.3603215853035888	1.4363927866567294	2.5411951602046594	3.4769738307085274	1.2449843091920696	1.6484344594172569	1.8665360301740996	1.5067979631160813	5.807412704220235	0.25	0.25	0.25	0.25	0.26276201753234774	0.24552336740788344	0.23794692946448406	0.25376768559528473	0.2536945930582831	0.24409618064781594	0.24420084175515597	0.2580083845387449	0.2809745295537781	0.23490752332884848	0.24071395600520107	0.24340399111217234	0.24614665991132204	0.2578253708645579	0.2389180180877793	0.2571099511363406	0.25481225084997816	0.24356892704743122	0.24494479900261729	0.25667402309997334	0.25362066843529696	0.2399032894579713	0.2444599396122636	0.2620161024944681	0.260924462973242	0.24630061227238909	0.24201018027821802	0.2507647444761509	0.24812110679718868	0.21571209115422527	0.28293941226310926	0.2532273897854769	0.2537979422304204	0.24005539741785098	0.2243682788272532	0.2817783815244755	0.2434953722566532	0.25692404022662474	0.24838852679628204	0.25119206072044004	0.25545972190303595	0.24557933279697727	0.24227776778020355	0.25668317751978326	0.27071025231976154	0.25589965001235204	0.2450167246718784	0.228373372996008	0.27315195902746925	0.24742333896271387	0.23692862891757085	0.242496073092246	0.26046281990038717	0.24352364103283908	0.24192926053975528	0.2540842785270184	0.2523419442918679	0.24774932278694425	0.23210054544259387	0.2678081874785939	0.2568254817234493	0.24305155013237562	0.24004980672785464	0.2600731614163204	0.27005579640925387	0.23894533329752213	0.23864050944680631	0.25235836084641766	0.24870423823327636	0.23904803574515904	0.25366416342687687	0.25858356259468773	0.26043894093555814	0.2353722240466812	0.25	0.25418883501776063	0.23221594021220188	0.25974036322427774	0.2547941087212758	0.2532495878422446	0.258872704554353	0.2496146553133501	0.2508591500346175	0.24065349009767947	0.25107617681565275	0.25	0.2460064390186162	0.25291738416573106	0.2573145530824371	0.25	0.2332193670427155	0.2594660798748474	0.25	0.23515686209723557	0.2618113735742547	0.25303176432850966	0.6425144890111361
4000	-323838.6377147442	-323767.2067665813	-71.43094816294501	0.03694936872493944	2.871002246978593	1.9425106824478806	1.4795669264884865	11.169620749281512	1.7777295406181979	5.228256809752383	5.113205233660269	3.164273820663023	2.0	4.090669765644456	3.5697913840964413	2.0	3.276195622706298	0.49059396036208563	1.0789540672948896	2.399638394064918	2.2981987533646606	1.3603215853035888	1.4363927866567294	2.005803884445504	3.4769738307085274	1.5355729318849076	1.6894168889009542	2.3650737879209287	1.5067979631160813	5.893678823057813	0.25	0.25	0.25	0.25	0.2795728867237208	0.23784425844711626	0.23040818232450408	0.2521746725046588	0.24884369983193716	0.2541824434502274	0.23896547217909045	0.2580083845387449	0.27939054756263115	0.23490752332884848	0.2318883879451089	0.2538135411634115	0.24535062039200753	0.2526394531615613	0.24489997531009045	0.2571099511363406	0.24899319762573663	0.24077755774807647	0.2469451605505052	0.2632840840756817	0.2573709688380784	0.25537896453983555	0.23740638442428452	0.24984368219780145	0.260924462973242	0.24630061227238909	0.24201018027821802	0.2507647444761509	0.2550121657693147	0.20882103218209927	0.28469291958891774	0.2514738824596684	0.2506320583618791	0.24005539741785098	0.22398024010043976	0.28533230411983024	0.24827306909812985	0.25692404022662474	0.24830578660069655	0.24649710407454883	0.2566489766619279	0.23706979747567702	0.24108851302131162	0.2651927128410835	0.26654706260790756	0.25589965001235204	0.2368625452084777	0.24069074217126263	0.27315195902746925	0.24742333896271387	0.23692862891757085	0.242496073092246	0.2678139290668316	0.2360901730178034	0.24192926053975528	0.2541666373756097	0.24573004876799448	0.24774932278694425	0.2244366265325537	0.2820840019125075	0.2665758395901609	0.23751789860949452	0.2358331003840242	0.2600731614163204	0.27005579640925387	0.23894533329752213	0.23573137083228138	0.2552674994609426	0.24648419758425086	0.24312896260294498	0.24009630853059133	0.27029053128221286	0.26043894093555814	0.2364827738044718	0.2488894502422094	0.25418883501776063	0.23221594021220188	0.25439982682749707	0.2547941087212758	0.2585901242390253	0.26592602345845584	0.23988909645428794	0.24632821582071288	0.2478566642665434	0.2556514483485507	0.24542472846710203	0.2460064390186162	0.25291738416573106	0.2742167986775291	0.2429739765912688	0.21445071861773093	0.2683585061134711	0.24231084490308064	0.23515686209723557	0.26181999825684926	0.26071229474283447	0.7187039629337423
5000	-320643.71170203516	-320577.09871389973	-66.61298813540442	0.04590698418420143	2.8229789039250566	1.9149789697206618	1.8089796851826034	8.221527888088604	2.023451309211999	5.711549901994067	5.113205233660269	3.164273820663023	1.8376573214646208	4.090669765644456	3.5697913840964413	1.6038224493524385	3.276195622706298	0.49059396036208563	1.0789540672948896	2.399638394064918	2.2981987533646606	1.3603215853035888	1.4363927866567294	2.7401642219256512	3.4769738307085274	1.5355729318849076	1.6894168889009542	2.24586116358034	1.5067979631160813	5.893678823057813	0.25	0.24735016536842083	0.2495143409710622	0.253135493660517	0.2795728867237208	0.23186377409170023	0.23040818232450408	0.25815515686007484	0.25580091658326587	0.2593960827658163	0.23223323779050628	0.25256976286041144	0.2797493327370406	0.23898070111526626	0.2274564249842817	0.2538135411634115	0.24992649711493206	0.2493723790712073	0.2435911726775199	0.2571099511363406	0.24770550473822445	0.24077755774807647	0.23857810733560206	0.27293883017809706	0.26567555598045456	0.2631251042254657	0.22782942940333092	0.24336991039074876	0.2651774578290553	0.24204761741657585	0.24201018027821802	0.2507647444761509	0.24830262191888378	0.2187838794439588	0.2818915289007711	0.25102196973638635	0.2506320583618791	0.24005539741785098	0.21366123550551047	0.29565130871475953	0.25982345021673736	0.25692404022662474	0.2447791272219094	0.23847338233472845	0.2566489766619279	0.23706979747567702	0.24108851302131162	0.2651927128410835	0.2594470283758875	0.24746487068594678	0.24776465481927631	0.24532344611888934	0.2753476309918558	0.2352987222940985	0.24685757362179966	0.242496073092246	0.2672477352705623	0.22973833494750212	0.25183999200500157	0.251173937776934	0.24573004876799448	0.24774932278694425	0.2244366265325537	0.2820840019125075	0.274212973723728	0.2394460076775558	0.2281959662504571	0.25814505234825913	0.27507286541739007	0.23388422677139659	0.24033092158973268	0.25071198622148066	0.25528215475021987	0.224443317678733	0.24009630853059133	0.28017821904045587	0.26043894093555814	0.2390860872289136	0.24437382360143206	0.25610114823409613	0.24223851476480776	0.24437725227489118	0.2547941087212758	0.2585901242390253	0.26592602345845584	0.23988909645428794	0.24632821582071288	0.2478566642665434	0.2556514483485507	0.23718221798085226	0.24886946881317834	0.2582968648574187	0.2692535916030877	0.2429739765912688	0.20827059830749578	0.27950183349814767	0.24231084490308064	0.23008955334590508	0.26181999825684926	0.26577960349416496	0.7570459967337123
6000	-318969.56090254145	-318905.16973928985	-64.39116325160518	0.04694452916087452	2.7798219813921117	1.9149789697206618	1.8089796851826034	10.627060688163496	1.9843117512948911	5.711549901994067	5.113205233660269	3.8253435122162576	1.8376573214646208	4.090669765644456	3.5697913840964413	1.6038224493524385	3.276195622706298	0.6544120865182393	0.8661118759140503	2.306808207882036	2.2981987533646606	1.3603215853035888	1.3864738538835202	2.7401642219256512	3.4769738307085274	1.7180848169633436	1.531735991431483	2.7527984707629933	1.5067979631160813	4.184157858513002	0.25	0.23967845076476796	0.2571860555747151	0.253135493660517	0.28936659244171115	0.22207006837370993	0.23747482981917148	0.25108850936540744	0.25027924548762487	0.26491775386145733	0.23223323779050628	0.25256976286041144	0.28089292386151526	0.2394662080327301	0.2274564249842817	0.252184443121473	0.24285933658208622	0.2528117369618945	0.24576552946150462	0.25856339699451447	0.2607913962475429	0.23226483325696395	0.2340049403173961	0.27293883017809706	0.25659555077777085	0.27193609772072275	0.23534298419082347	0.23612536731068295	0.2651774578290553	0.2320513991076144	0.24201018027821802	0.2607609627851123	0.2475390680717597	0.22794195399633155	0.2818915289007711	0.24262744903113767	0.2511692515447832	0.24021144491107307	0.21147535731753994	0.29714394622660384	0.25953432967262224	0.25721316077073986	0.24384041334592882	0.23941209621070902	0.27304705942517543	0.2249977187622333	0.22990807333231658	0.27204714848027467	0.26602556107627157	0.2436247621540463	0.24181861887019243	0.24853105789948965	0.2799814584654799	0.22742223995494754	0.2501002284873265	0.242496073092246	0.27244158997290774	0.22057786334286314	0.2466461373026561	0.26033440938157293	0.24701908923454216	0.22124554382240896	0.24064200801511854	0.2910933589279303	0.274212973723728	0.23838592125759955	0.22184234528668295	0.2655587597319895	0.27507286541739007	0.23343662410884297	0.24033092158973268	0.2511595888840343	0.2452066889875036	0.23371171867999158	0.24544701979352787	0.275634572538977	0.2614199001129132	0.2381051280515585	0.24437382360143206	0.25610114823409613	0.23610148585266966	0.2437159719290716	0.25872090017901217	0.2614616420392466	0.2688126004234726	0.24382192199138386	0.24239539028361695	0.24497008730152664	0.2603918766340907	0.22594158306646342	0.2553696754420272	0.2582968648574187	0.2627232732762491	0.2429739765912688	0.20827059830749578	0.28603215182498626	0.25001833718723593	0.23008955334590508	0.25411250597269397	0.26577960349416496	0.7010794591405803
7000	-316705.96275828785	-316634.7695094219	-71.1932488659581	0.048893464627781054	2.886817529890011	2.7599320774271416	1.8089796851826034	5.869391229565465	1.6895950595974363	5.711549901994067	5.113205233660269	3.8253435122162576	1.8376573214646208	4.090669765644456	3.5697913840964413	0.869985704135148	3.276195622706298	0.6544120865182393	0.8661118759140503	2.90956527218384	2.2981987533646606	1.3603215853035888	1.3864738538835202	2.9437053230506285	3.4769738307085274	1.5125239001678679	1.531735991431483	2.7527984707629933	1.7425953961478053	4.184157858513002	0.25	0.23967845076476796	0.2571860555747151	0.253135493660517	0.2992006115058711	0.22207006837370993	0.22764081075501158	0.25108850936540744	0.24164705456870683	0.27354994478037536	0.23500126369495788	0.24980173695595984	0.2898567556551329	0.24007205072065033	0.21033186898798734	0.2597393246362295	0.24285933658208622	0.2528117369618945	0.24576552946150462	0.25856339699451447	0.2607913962475429	0.2409330960511154	0.22533667752324466	0.27293883017809706	0.25508619006232247	0.26862543864553623	0.23404886410219544	0.24223950718994586	0.2565426904767917	0.22876051052794347	0.24483168014349663	0.2698651188517682	0.2475390680717597	0.22672304292049764	0.2814319262126379	0.2443059627951048	0.2511692515447832	0.24021144491107307	0.21147535731753994	0.29714394622660384	0.25269421159041167	0.25576767251335036	0.2528130741341937	0.2387250417620442	0.2793905061251089	0.22719174940868206	0.2213705959859343	0.27204714848027467	0.26602556107627157	0.2436247621540463	0.23357112895616552	0.25677854781351656	0.2770575398039923	0.23034615861643518	0.2501002284873265	0.242496073092246	0.2766572115166812	0.2163622417990897	0.24790289326940504	0.259077653414824	0.24701908923454216	0.2210652655428396	0.23549449867978997	0.29642114654282825	0.274212973723728	0.23838592125759955	0.21337470720681279	0.27402639781185967	0.27507286541739007	0.23343662410884297	0.24033092158973268	0.2511595888840343	0.2400706277721893	0.24036431372350053	0.23984033420055054	0.2797247243037597	0.2614199001129132	0.2381051280515585	0.24437382360143206	0.25610114823409613	0.24057200049496819	0.23748019001393128	0.260486167451854	0.2614616420392466	0.2716491411673405	0.24694310870925665	0.23251073970324346	0.24889701042015944	0.26009696333591187	0.22838535252949804	0.25322081927717144	0.2582968648574187	0.27005327925247397	0.2356439706150439	0.20827059830749578	0.28603215182498626	0.25001833718723593	0.23139298562574395	0.2528090736928551	0.26577960349416496	0.7491543836216968
8000	-314684.5492887861	-314610.049044269	-74.50024451705566	0.05053889749128003	2.9338405835209396	2.4410517192193475	1.8089796851826034	8.398768319897952	1.7109791042727927	5.711549901994067	5.113205233660269	3.6825303313787368	1.8376573214646208	4.090669765644456	3.5697913840964413	0.8475499613819667	3.2808432552521594	0.6544120865182393	0.8661118759140503	2.708221174815826	2.2981987533646606	1.3603215853035888	1.3864738538835202	2.9437053230506285	3.4769738307085274	1.5125239001678679	1.531735991431483	2.7527984707629933	1.7425953961478053	5.292000996883079	0.25512385521655684	0.23455459554821112	0.2571860555747151	0.253135493660517	0.29820637538765143	0.22517258434151838	0.22863504687323122	0.247985993397599	0.24164705456870683	0.2652675336354378	0.23500126369495788	0.2580841481008974	0.2994330446840476	0.2213944886551518	0.21242774560123678	0.2667447210595639	0.2505831634822886	0.2528117369618945	0.23804170256130225	0.25856339699451447	0.2669183234486961	0.2348061688499622	0.22533667752324466	0.27293883017809706	0.26165047567858846	0.2702003038223246	0.21580713853958938	0.2523420819594976	0.2565426904767917	0.23059762541018405	0.23944218166578	0.2734175024472443	0.2475390680717597	0.23659903606196353	0.28089978673916194	0.2349621091271149	0.2565300165814856	0.24021144491107307	0.21147535731753994	0.29178318118990143	0.25269421159041167	0.26873337445963624	0.25165085614094446	0.22692155780900758	0.2793905061251089	0.22719174940868206	0.22626480064588744	0.2671529438203215	0.2581984334869023	0.24461751520364694	0.23357112895616552	0.2636129223532852	0.283847147083706	0.22075032047106086	0.24951351105698433	0.24588902138824875	0.2956226055657908	0.21468201934870612	0.23360646896496792	0.25608890612053514	0.24701908923454216	0.21557378340935782	0.24098598081327174	0.29642114654282825	0.27075123950683005	0.23838592125759955	0.21677342100434016	0.27408941823123023	0.27640899049134005	0.23210049903489302	0.24033092158973268	0.2511595888840343	0.24607854775777108	0.24036431372350053	0.23984033420055054	0.2737168043181779	0.2614642244555045	0.23568349556972043	0.24437382360143206	0.25847845637334294	0.23347207164119885	0.23720547098173167	0.26804388870405726	0.26127856867301225	0.2716491411673405	0.24694310870925665	0.23251073970324346	0.24889701042015944	0.26009696333591187	0.22838535252949804	0.24368069348461982	0.26783699064997035	0.27102878956637166	0.2392463247127759	0.2072950879935981	0.2824297977272543	0.2533964423859295	0.23139298562574395	0.2494309684941615	0.26577960349416496	0.6796204431328302
9000	-310900.97514881304	-310828.05818137043	-72.9169674425882	0.05099836881819851	2.9368120635234423	2.113227928871098	1.4268493642189677	8.398768319897952	1.7109791042727927	5.711549901994067	5.113205233660269	2.9341723919432114	1.8376573214646208	4.090669765644456	3.5438969109222516	0.6570494713479241	3.2808432552521594	0.6554195482589263	0.8661118759140503	2.189346828471079	2.2981987533646606	1.3603215853035888	1.3864738538835202	2.9437053230506285	3.4769738307085274	1.5125239001678679	1.531735991431483	3.047977888017111	1.7425953961478053	5.292000996883079	0.25300089345299115	0.23193037207055828	0.2619332408159336	0.253135493660517	0.29820637538765143	0.22133048881259887	0.23300084188218656	0.24746229391756316	0.24489718849718375	0.26230539654945273	0.2415076380181403	0.25128977693522314	0.30022956876187135	0.2213944886551518	0.21242774560123678	0.26594819698174016	0.25559191410727006	0.2562025351957192	0.2330329519363208	0.25517259876068976	0.2669183234486961	0.23657498247606543	0.21709162799743772	0.27941506607780076	0.2610010337458974	0.2702003038223246	0.21580713853958938	0.25299152389218865	0.2575769139071123	0.23059762541018405	0.23840795823545938	0.2734175024472443	0.2475390680717597	0.21928542665742018	0.28989073406149035	0.24328477120932981	0.26419043042819473	0.23255103106436395	0.21147535731753994	0.29178318118990143	0.25269421159041167	0.27860219742294107	0.24724039168153983	0.22146319930510738	0.2765763168101375	0.23000593872365346	0.22626480064588744	0.2671529438203215	0.2581984334869023	0.23704765819890006	0.24836009935188455	0.25639380896231306	0.2867395152105935	0.21973295002417104	0.24763851337698667	0.24588902138824875	0.2863877458957011	0.21423367479711442	0.22991841391121004	0.2694601653959744	0.24701908923454216	0.21557378340935782	0.24098598081327174	0.29642114654282825	0.27075123950683005	0.2411064456235072	0.21677342100434016	0.2713688938653226	0.28977737640164225	0.23210049903489302	0.2327932637141485	0.24532886084931627	0.24607854775777108	0.24274310557473863	0.23746154234931244	0.2737168043181779	0.27085746304474045	0.2262902569804844	0.24437382360143206	0.25847845637334294	0.23561092361149835	0.24143243515008456	0.26804388870405726	0.2549127525343599	0.2716491411673405	0.24694310870925665	0.23251073970324346	0.24889701042015944	0.26009696333591187	0.2207303959621811	0.24123241380521093	0.2779402268966962	0.27102878956637166	0.23299095487048868	0.2119464802681114	0.28403377529502827	0.24577186451471367	0.22801887515370226	0.2494309684941615	0.27677829183742253	0.8166430620534334
